Nama_Lokasi,Jam_Login,Nama,Email,No_Telp,Tahun_Lahir,Merek_HP,Digital_Interest,Location_Type,Usia,Jam_Login_Rounded
Jogja City Mall,11:20,Manah,Manah@google.com,8977221873,1995-05-08,samsung,beauty,Free,28.0,11
Foresthree Coffee,04:24,Soleh,Soleh@google.com,8925371154,2005-02-12,oppo,music,Social,18.0,4
Grand Metropolitan Mall,12:16,Darijan,Darijan@google.com,8475697033,1995-05-01,apple,beauty,Free,28.0,12
SMA N 28 Jakarta,12:02,Mulyono,Mulyono@google.com,8355866265,1984-07-31,xiaomi,beauty,Goes to School,38.0,12
SMA N 27 Jakarta,19:47,Malik,Malik@google.com,8328188360,1967-09-11,vivo,entertainment,Goes to School,55.0,20
Grand Metropolitan Mall,21:31,Kartika,Kartika@google.com,8307374621,1987-04-05,samsung,cooking,Free,36.0,22
Foresthree Coffee,00:43,Lurhur,Lurhur@google.com,8687621484,1983-10-12,xiaomi,cooking,Social,39.0,1
Coffee Toffee,17:54,Olga,Olga@google.com,8879432469,1988-06-06,xiaomi,tech,Social,35.0,18
SMA N 28 Jakarta,08:59,Oliva,Oliva@google.com,8682849576,1996-03-22,vivo,science,Goes to School,27.0,9
SMA N 27 Jakarta,23:14,Taufik,Taufik@google.com,8548438878,1967-09-13,xiaomi,beauty,Goes to School,55.0,23
Grand Metropolitan Mall,18:55,Rini,Rini@google.com,8132523036,1963-07-24,vivo,games,Free,59.0,19
Jogja City Mall,23:27,Novi,Novi@google.com,8142602321,1988-10-14,apple,sport,Free,34.0,23
Jogja City Mall,08:29,Baktianto,Baktianto@google.com,8138559623,2004-11-05,xiaomi,entertainment,Free,18.0,8
SMA N 27 Jakarta,07:48,Ian,Ian@google.com,8527653849,1969-09-16,apple,sport,Goes to School,53.0,8
SMA N 47 Jakarta,09:29,Ulva,Ulva@google.com,8840128647,1962-12-06,apple,games,Goes to School,60.0,9
SMA N 47 Jakarta,04:53,Mariadi,Mariadi@google.com,8465736631,2005-06-30,oppo,sport,Goes to School,17.0,5
Tang City Mall,05:47,Tomi,Tomi@google.com,8834213447,1975-10-27,vivo,entertainment,Free,47.0,6
SMA N 28 Jakarta,11:33,Arsipatra,Arsipatra@google.com,8342487591,1975-10-25,oppo,entertainment,Goes to School,47.0,12
SMA N 47 Jakarta,04:03,Cager,Cager@google.com,8337808296,1966-04-29,samsung,sport,Goes to School,57.0,4
SMA N 47 Jakarta,18:57,Wasis,Wasis@google.com,8585554933,1976-11-01,xiaomi,art,Goes to School,46.0,19
SMA N 27 Jakarta,02:20,Artawan,Artawan@google.com,8499279161,1973-02-12,samsung,games,Goes to School,50.0,2
Tang City Mall,19:33,Usyi,Usyi@google.com,8017553173,1997-09-29,xiaomi,cooking,Free,25.0,20
SMA N 28 Jakarta,12:02,Bakiono,Bakiono@google.com,8211115695,1990-09-09,oppo,sport,Goes to School,32.0,12
SMA N 47 Jakarta,23:37,Laras,Laras@google.com,8557680867,1968-11-21,samsung,science,Goes to School,54.0,0
Stuja Coffee,20:05,Puji,Puji@google.com,8475674759,1990-12-09,samsung,music,Social,32.0,20
SMA N 28 Jakarta,02:31,Dasa,Dasa@google.com,8949249961,1979-07-16,vivo,cooking,Goes to School,43.0,3
SMA N 28 Jakarta,03:42,Lasmono,Lasmono@google.com,8009875335,1967-08-28,xiaomi,tech,Goes to School,55.0,4
Coffee Toffee,12:04,Galur,Galur@google.com,8162018683,1994-08-05,apple,beauty,Social,28.0,12
Tang City Mall,23:34,Bagus,Bagus@google.com,8924958420,1964-08-08,samsung,art,Free,58.0,0
SMA N 47 Jakarta,17:08,Nugraha,Nugraha@google.com,8645256761,1970-09-19,vivo,art,Goes to School,52.0,17
Coffee Toffee,12:48,Gandewa,Gandewa@google.com,8907436388,1972-11-17,vivo,science,Social,50.0,13
SMA N 28 Jakarta,11:29,Lasmanto,Lasmanto@google.com,8642218547,1997-09-16,samsung,entertainment,Goes to School,25.0,11
SMA N 27 Jakarta,23:47,Gamblang,Gamblang@google.com,8671692264,2003-11-04,xiaomi,music,Goes to School,19.0,0
SMA N 47 Jakarta,18:34,Kuncara,Kuncara@google.com,8380394853,1997-10-31,apple,entertainment,Goes to School,25.0,19
SMA N 28 Jakarta,13:20,Ani,Ani@google.com,8403205117,1971-03-03,vivo,cooking,Goes to School,52.0,13
Stuja Coffee,09:50,Kenzie,Kenzie@google.com,8291277096,1976-06-27,samsung,art,Social,46.0,10
Coffee Toffee,00:26,Hairyanto,Hairyanto@google.com,8073474952,1986-12-23,xiaomi,sport,Social,36.0,0
Tang City Mall,15:23,Wasis,Wasis@google.com,8067446975,1963-06-11,oppo,science,Free,60.0,15
Grand Metropolitan Mall,20:41,Nardi,Nardi@google.com,8117943610,1995-04-22,vivo,tech,Free,28.0,21
Coffee Toffee,06:02,Septi,Septi@google.com,8276243421,1976-01-30,samsung,cooking,Social,47.0,6
Jogja City Mall,12:35,Nrima,Nrima@google.com,8650094344,1984-03-11,oppo,games,Free,39.0,13
Jogja City Mall,23:56,Safina,Safina@google.com,8576662189,1994-02-01,samsung,games,Free,29.0,0
Stuja Coffee,22:28,Nardi,Nardi@google.com,8293900506,1990-05-11,samsung,music,Social,33.0,22
Jogja City Mall,16:30,Tedi,Tedi@google.com,8299065250,2001-09-09,apple,beauty,Free,21.0,16
Grand Metropolitan Mall,14:15,Lukita,Lukita@google.com,8034202966,1964-05-01,vivo,games,Free,59.0,14
SMA N 47 Jakarta,20:32,Waluyo,Waluyo@google.com,8406951832,1969-01-27,vivo,tech,Goes to School,54.0,21
Foresthree Coffee,00:18,Agus,Agus@google.com,8275463653,1981-01-01,apple,sport,Social,42.0,0
Grand Metropolitan Mall,12:58,Sakura,Sakura@google.com,8225234287,1974-08-04,vivo,cooking,Free,48.0,13
Grand Metropolitan Mall,06:34,Praba,Praba@google.com,8331810150,1964-09-22,vivo,art,Free,58.0,7
Jogja City Mall,04:13,Niyaga,Niyaga@google.com,8222899278,1984-02-28,apple,art,Free,39.0,4
Coffee Toffee,15:14,Omar,Omar@google.com,8570182948,1977-07-06,xiaomi,music,Social,45.0,15
Stuja Coffee,04:24,Rahman,Rahman@google.com,8745463027,1966-02-06,xiaomi,sport,Social,57.0,4
SMA N 28 Jakarta,07:35,Gara,Gara@google.com,8190432751,1982-08-31,oppo,music,Goes to School,40.0,8
Grand Metropolitan Mall,23:05,Jane,Jane@google.com,8273877897,1973-09-04,vivo,art,Free,49.0,23
Stuja Coffee,11:32,Rachel,Rachel@google.com,8150305573,2003-11-16,oppo,beauty,Social,19.0,12
SMA N 47 Jakarta,04:54,Diah,Diah@google.com,8391020410,1992-05-04,vivo,music,Goes to School,31.0,5
SMA N 27 Jakarta,12:33,Juli,Juli@google.com,8733889970,2006-01-09,apple,entertainment,Goes to School,17.0,13
Foresthree Coffee,12:14,Satya,Satya@google.com,8886248420,1993-07-12,vivo,sport,Social,29.0,12
Grand Metropolitan Mall,01:58,Emil,Emil@google.com,8190082224,1992-06-27,vivo,sport,Free,30.0,2
Jogja City Mall,01:07,Jasmin,Jasmin@google.com,8818933737,1980-03-16,xiaomi,beauty,Free,43.0,1
SMA N 47 Jakarta,18:46,Atmaja,Atmaja@google.com,8953972744,1965-12-07,samsung,tech,Goes to School,57.0,19
SMA N 47 Jakarta,19:23,Karsa,Karsa@google.com,8244331243,1974-05-14,xiaomi,music,Goes to School,49.0,19
Stuja Coffee,06:14,Bakiono,Bakiono@google.com,8743243101,1994-05-06,apple,games,Social,29.0,6
SMA N 27 Jakarta,15:09,Raharja,Raharja@google.com,8024925334,1977-12-16,apple,sport,Goes to School,45.0,15
Grand Metropolitan Mall,00:18,Aditya,Aditya@google.com,8823134341,1987-08-16,apple,games,Free,35.0,0
Coffee Toffee,21:02,Nabila,Nabila@google.com,8174366583,1984-03-02,apple,sport,Social,39.0,21
Jogja City Mall,11:23,Karta,Karta@google.com,8164250494,2006-12-07,vivo,sport,Free,16.0,11
Tang City Mall,08:40,Ifa,Ifa@google.com,8086236280,1986-11-28,apple,music,Free,36.0,9
SMA N 28 Jakarta,00:20,Lidya,Lidya@google.com,8100399452,1981-11-15,samsung,science,Goes to School,41.0,0
SMA N 47 Jakarta,00:44,Lukita,Lukita@google.com,8686726494,1971-07-25,xiaomi,games,Goes to School,51.0,1
Grand Metropolitan Mall,08:14,Purwadi,Purwadi@google.com,8914306608,1997-03-04,apple,games,Free,26.0,8
Foresthree Coffee,08:23,Harjaya,Harjaya@google.com,8284990273,1986-10-27,vivo,beauty,Social,36.0,8
Jogja City Mall,17:42,Wardi,Wardi@google.com,8171893800,1982-12-04,samsung,entertainment,Free,40.0,18
Tang City Mall,04:27,Koko,Koko@google.com,8513489963,1975-01-10,oppo,art,Free,48.0,4
Tang City Mall,17:11,Raditya,Raditya@google.com,8341094588,1999-03-16,samsung,tech,Free,24.0,17
SMA N 47 Jakarta,11:15,Queen,Queen@google.com,8617676658,1965-12-01,oppo,cooking,Goes to School,57.0,11
SMA N 28 Jakarta,23:58,Ikin,Ikin@google.com,8000629378,1985-01-27,samsung,beauty,Goes to School,38.0,0
Foresthree Coffee,17:48,Martana,Martana@google.com,8806221083,1972-05-04,samsung,beauty,Social,51.0,18
Foresthree Coffee,01:31,Jati,Jati@google.com,8662210737,1985-07-05,apple,science,Social,37.0,2
Grand Metropolitan Mall,23:24,Kamidin,Kamidin@google.com,8403070063,1966-07-19,apple,beauty,Free,56.0,23
Tang City Mall,05:12,Radika,Radika@google.com,8251463395,1989-03-05,apple,art,Free,34.0,5
Coffee Toffee,23:16,Yance,Yance@google.com,8597139334,1979-06-18,samsung,entertainment,Social,44.0,23
SMA N 28 Jakarta,10:18,Johan,Johan@google.com,8900978815,2005-10-27,oppo,games,Goes to School,17.0,10
Stuja Coffee,18:16,Lasmanto,Lasmanto@google.com,8794218238,1975-06-10,xiaomi,sport,Social,48.0,18
Grand Metropolitan Mall,11:20,Dodo,Dodo@google.com,8570274967,1994-05-18,oppo,tech,Free,29.0,11
Foresthree Coffee,19:07,Balangga,Balangga@google.com,8017738736,1969-05-11,oppo,art,Social,54.0,19
Jogja City Mall,02:44,Karsa,Karsa@google.com,8101470068,1972-04-17,xiaomi,games,Free,51.0,3
Coffee Toffee,18:12,Fitria,Fitria@google.com,8185374252,2001-08-25,vivo,science,Social,21.0,18
SMA N 27 Jakarta,08:59,Carla,Carla@google.com,8538712494,1998-11-24,vivo,tech,Goes to School,24.0,9
SMA N 47 Jakarta,00:26,Kala,Kala@google.com,8207653086,1977-11-01,apple,entertainment,Goes to School,45.0,0
Foresthree Coffee,11:29,Sidiq,Sidiq@google.com,8497805215,1979-10-06,xiaomi,sport,Social,43.0,11
Tang City Mall,03:50,Jelita,Jelita@google.com,8567495451,1990-01-01,oppo,tech,Free,33.0,4
SMA N 27 Jakarta,13:47,Rama,Rama@google.com,8930132408,2004-01-18,xiaomi,sport,Goes to School,19.0,14
SMA N 28 Jakarta,09:08,Galur,Galur@google.com,8177813161,1975-08-22,oppo,cooking,Goes to School,47.0,9
Stuja Coffee,16:05,Estiawan,Estiawan@google.com,8065423644,1962-03-11,samsung,sport,Social,61.0,16
Coffee Toffee,05:34,Septi,Septi@google.com,8369409759,2002-03-08,vivo,sport,Social,21.0,6
Tang City Mall,13:14,Artanto,Artanto@google.com,8938178199,1979-07-24,oppo,art,Free,43.0,13
Jogja City Mall,15:22,Ina,Ina@google.com,8491277345,1988-09-10,samsung,entertainment,Free,34.0,15
SMA N 27 Jakarta,03:08,Estiono,Estiono@google.com,8381393010,1989-04-23,oppo,tech,Goes to School,34.0,3
Grand Metropolitan Mall,18:04,Ajiman,Ajiman@google.com,8408779528,2003-03-02,oppo,art,Free,20.0,18
Coffee Toffee,19:36,Cahyo,Cahyo@google.com,8676477251,1964-06-09,samsung,beauty,Social,59.0,20
Tang City Mall,12:09,Bakiono,Bakiono@google.com,8486571227,1973-04-04,xiaomi,cooking,Free,50.0,12
Foresthree Coffee,06:07,Galur,Galur@google.com,8069295060,1995-02-02,vivo,games,Social,28.0,6
Tang City Mall,12:39,Jabal,Jabal@google.com,8228038182,2000-09-15,xiaomi,music,Free,22.0,13
Jogja City Mall,15:19,Hasim,Hasim@google.com,8695450432,1994-12-20,vivo,sport,Free,28.0,15
Foresthree Coffee,02:10,Pranawa,Pranawa@google.com,8242364418,2005-12-01,apple,science,Social,17.0,2
Tang City Mall,19:01,Baktiadi,Baktiadi@google.com,8779372759,1976-11-16,apple,tech,Free,46.0,19
SMA N 28 Jakarta,10:39,Karman,Karman@google.com,8368593550,2001-11-04,xiaomi,art,Goes to School,21.0,11
SMA N 47 Jakarta,11:37,Cemani,Cemani@google.com,8398994736,1998-11-19,apple,entertainment,Goes to School,24.0,12
SMA N 47 Jakarta,12:21,Kamidin,Kamidin@google.com,8899645372,1990-05-05,xiaomi,beauty,Goes to School,33.0,12
SMA N 47 Jakarta,18:23,Malik,Malik@google.com,8912452119,1999-03-12,oppo,cooking,Goes to School,24.0,18
Foresthree Coffee,10:20,Karna,Karna@google.com,8943658290,2002-07-12,xiaomi,cooking,Social,20.0,10
Coffee Toffee,09:07,Rahmat,Rahmat@google.com,8604077323,1980-03-30,xiaomi,art,Social,43.0,9
Stuja Coffee,17:48,Balapati,Balapati@google.com,8504354465,2004-06-05,xiaomi,sport,Social,19.0,18
SMA N 47 Jakarta,13:43,Ikin,Ikin@google.com,8847353643,2004-03-03,vivo,science,Goes to School,19.0,14
SMA N 27 Jakarta,14:52,Uli,Uli@google.com,8114091759,1983-10-30,xiaomi,tech,Goes to School,39.0,15
Foresthree Coffee,12:15,Cahyono,Cahyono@google.com,8221088770,1993-06-27,apple,beauty,Social,29.0,12
Foresthree Coffee,14:26,Jarwa,Jarwa@google.com,8484878490,2006-03-02,oppo,music,Social,17.0,14
Tang City Mall,05:01,Febi,Febi@google.com,8399096056,1970-11-17,xiaomi,art,Free,52.0,5
Jogja City Mall,10:32,Ghani,Ghani@google.com,8165211950,1963-10-07,xiaomi,beauty,Free,59.0,11
SMA N 47 Jakarta,01:04,Makara,Makara@google.com,8969137250,2004-07-11,apple,art,Goes to School,18.0,1
SMA N 47 Jakarta,17:54,Laila,Laila@google.com,8987082402,1994-01-17,vivo,cooking,Goes to School,29.0,18
Jogja City Mall,23:49,Martani,Martani@google.com,8692425995,1987-06-25,xiaomi,art,Free,35.0,0
Grand Metropolitan Mall,14:32,Natalia,Natalia@google.com,8299577466,1962-06-05,vivo,science,Free,61.0,15
SMA N 28 Jakarta,07:00,Anom,Anom@google.com,8829087606,1963-06-11,apple,tech,Goes to School,60.0,7
Grand Metropolitan Mall,22:53,Harto,Harto@google.com,8276496513,1962-10-03,vivo,tech,Free,60.0,23
Grand Metropolitan Mall,15:42,Umay,Umay@google.com,8198979205,1972-12-25,samsung,entertainment,Free,50.0,16
Coffee Toffee,12:12,Gamblang,Gamblang@google.com,8364402300,1967-11-19,xiaomi,sport,Social,55.0,12
Foresthree Coffee,15:58,Wani,Wani@google.com,8043715263,1962-11-07,samsung,beauty,Social,60.0,16
Foresthree Coffee,00:48,Anita,Anita@google.com,8321902706,1975-02-11,apple,cooking,Social,48.0,1
SMA N 28 Jakarta,14:31,Arta,Arta@google.com,8884910679,1972-12-28,oppo,tech,Goes to School,50.0,15
Jogja City Mall,08:17,Warsa,Warsa@google.com,8571290365,1984-01-19,vivo,tech,Free,39.0,8
SMA N 27 Jakarta,02:44,Lutfan,Lutfan@google.com,8256854732,2006-11-16,samsung,beauty,Goes to School,16.0,3
Jogja City Mall,16:25,Soleh,Soleh@google.com,8788700087,2005-10-21,oppo,science,Free,17.0,16
SMA N 47 Jakarta,18:34,Ani,Ani@google.com,8946716216,1977-06-22,xiaomi,science,Goes to School,45.0,19
SMA N 28 Jakarta,17:26,Wage,Wage@google.com,8797721260,2006-11-26,samsung,tech,Goes to School,16.0,17
Grand Metropolitan Mall,09:50,Lasmono,Lasmono@google.com,8152885917,2002-11-06,vivo,games,Free,20.0,10
SMA N 27 Jakarta,14:40,Indah,Indah@google.com,8378969096,1987-10-01,xiaomi,sport,Goes to School,35.0,15
Grand Metropolitan Mall,17:05,Garan,Garan@google.com,8765176388,1971-08-02,oppo,entertainment,Free,51.0,17
Coffee Toffee,13:12,Puspa,Puspa@google.com,8448610254,2003-02-18,apple,music,Social,20.0,13
Tang City Mall,16:15,Paiman,Paiman@google.com,8137025456,1990-09-29,xiaomi,sport,Free,32.0,16
SMA N 28 Jakarta,00:49,Ophelia,Ophelia@google.com,8681091983,1984-09-15,samsung,tech,Goes to School,38.0,1
SMA N 27 Jakarta,07:20,Daliono,Daliono@google.com,8362172219,2000-12-31,vivo,tech,Goes to School,22.0,7
Tang City Mall,13:41,Ulya,Ulya@google.com,8064979935,2000-04-18,xiaomi,tech,Free,23.0,14
Jogja City Mall,17:58,Nardi,Nardi@google.com,8773017383,1962-01-30,oppo,science,Free,61.0,18
SMA N 28 Jakarta,05:41,Malika,Malika@google.com,8267275784,1962-06-05,xiaomi,tech,Goes to School,61.0,6
Grand Metropolitan Mall,15:45,Paris,Paris@google.com,8180013678,1976-09-09,vivo,art,Free,46.0,16
Stuja Coffee,03:29,Ophelia,Ophelia@google.com,8243911779,2006-07-17,samsung,games,Social,16.0,3
Tang City Mall,02:01,Viman,Viman@google.com,8043329685,1998-12-27,samsung,entertainment,Free,24.0,2
SMA N 27 Jakarta,04:41,Reza,Reza@google.com,8775968780,2007-12-05,samsung,science,Goes to School,15.0,5
SMA N 47 Jakarta,09:55,Mulya,Mulya@google.com,8633951808,1971-01-10,oppo,music,Goes to School,52.0,10
Grand Metropolitan Mall,10:43,Raden,Raden@google.com,8795880529,1989-01-26,apple,games,Free,34.0,11
Jogja City Mall,22:16,Karna,Karna@google.com,8523546330,1995-05-06,xiaomi,entertainment,Free,28.0,22
Stuja Coffee,10:17,Ajiman,Ajiman@google.com,8568965914,1976-09-14,xiaomi,sport,Social,46.0,10
Tang City Mall,14:54,Abyasa,Abyasa@google.com,8415243335,1983-03-23,apple,beauty,Free,40.0,15
Coffee Toffee,02:53,Emil,Emil@google.com,8833335917,1989-05-31,xiaomi,science,Social,34.0,3
SMA N 28 Jakarta,16:09,Lutfan,Lutfan@google.com,8167477317,1978-02-22,vivo,science,Goes to School,45.0,16
Coffee Toffee,08:44,Amalia,Amalia@google.com,8523135213,1972-12-08,oppo,entertainment,Social,50.0,9
SMA N 47 Jakarta,12:14,Kenari,Kenari@google.com,8452668228,1965-11-01,oppo,art,Goes to School,57.0,12
Jogja City Mall,09:14,Julia,Julia@google.com,8117006404,2003-02-17,samsung,cooking,Free,20.0,9
Stuja Coffee,02:27,Asmadi,Asmadi@google.com,8761036645,1969-01-06,xiaomi,science,Social,54.0,2
Jogja City Mall,00:20,Vanesa,Vanesa@google.com,8522781882,1961-12-17,apple,science,Free,61.0,0
Coffee Toffee,17:08,Pia,Pia@google.com,8103209302,1993-02-18,samsung,beauty,Social,30.0,17
Tang City Mall,00:19,Gandi,Gandi@google.com,8495853068,1962-01-30,oppo,sport,Free,61.0,0
Coffee Toffee,06:00,Gambira,Gambira@google.com,8167716448,1961-12-25,xiaomi,sport,Social,61.0,6
Tang City Mall,04:14,Aisyah,Aisyah@google.com,8977196332,1982-09-24,xiaomi,art,Free,40.0,4
SMA N 28 Jakarta,18:59,Imam,Imam@google.com,8802471506,1986-09-18,apple,science,Goes to School,36.0,19
Tang City Mall,16:21,Radika,Radika@google.com,8682121211,1970-12-21,apple,tech,Free,52.0,16
Jogja City Mall,16:07,Vera,Vera@google.com,8443146503,1986-02-03,samsung,tech,Free,37.0,16
Foresthree Coffee,09:10,Reza,Reza@google.com,8729765962,1989-02-03,apple,tech,Social,34.0,9
SMA N 47 Jakarta,10:26,Kajen,Kajen@google.com,8666925559,1985-06-19,apple,science,Goes to School,38.0,10
SMA N 28 Jakarta,12:11,Danang,Danang@google.com,8833674729,1964-12-19,vivo,entertainment,Goes to School,58.0,12
Jogja City Mall,10:34,Bagya,Bagya@google.com,8310349286,1973-06-22,vivo,entertainment,Free,50.0,11
Foresthree Coffee,19:33,Chelsea,Chelsea@google.com,8880493840,1968-02-20,apple,art,Social,55.0,20
Coffee Toffee,13:20,Ina,Ina@google.com,8769449265,1980-09-13,samsung,tech,Social,42.0,13
SMA N 28 Jakarta,09:05,Opung,Opung@google.com,8591257576,1962-09-15,oppo,games,Goes to School,60.0,9
SMA N 28 Jakarta,03:50,Hairyanto,Hairyanto@google.com,8832488316,1967-07-06,oppo,cooking,Goes to School,55.0,4
SMA N 28 Jakarta,00:28,Warta,Warta@google.com,8253125427,1965-03-06,oppo,entertainment,Goes to School,58.0,0
SMA N 47 Jakarta,13:30,Devi,Devi@google.com,8518945676,1973-08-28,vivo,music,Goes to School,49.0,14
Foresthree Coffee,04:52,Winda,Winda@google.com,8306651262,1999-06-26,vivo,games,Social,23.0,5
Tang City Mall,11:53,Taufan,Taufan@google.com,8551662185,1989-07-17,oppo,entertainment,Free,33.0,12
Tang City Mall,03:41,Rahmi,Rahmi@google.com,8111472956,1983-12-03,oppo,entertainment,Free,39.0,4
SMA N 28 Jakarta,17:02,Makuta,Makuta@google.com,8658162436,1999-07-10,vivo,games,Goes to School,23.0,17
SMA N 47 Jakarta,16:46,Jane,Jane@google.com,8314207885,1972-07-30,apple,science,Goes to School,50.0,17
SMA N 28 Jakarta,05:44,Raden,Raden@google.com,8371402377,1976-07-08,xiaomi,games,Goes to School,46.0,6
Stuja Coffee,04:59,Catur,Catur@google.com,8442814200,1984-05-14,oppo,beauty,Social,39.0,5
SMA N 28 Jakarta,12:04,Hasta,Hasta@google.com,8418216599,1997-06-29,oppo,art,Goes to School,25.0,12
SMA N 47 Jakarta,18:29,Oni,Oni@google.com,8735898082,1963-05-11,oppo,cooking,Goes to School,60.0,18
Jogja City Mall,09:32,Wulan,Wulan@google.com,8217478909,1978-07-29,samsung,music,Free,44.0,10
SMA N 27 Jakarta,10:26,Adinata,Adinata@google.com,8855625124,2004-09-16,vivo,music,Goes to School,18.0,10
Grand Metropolitan Mall,22:03,Luis,Luis@google.com,8572870856,2002-05-03,apple,entertainment,Free,21.0,22
Tang City Mall,15:23,Elvina,Elvina@google.com,8935420393,1994-03-30,oppo,cooking,Free,29.0,15
Coffee Toffee,22:12,Hardana,Hardana@google.com,8795155976,1976-09-24,xiaomi,games,Social,46.0,22
SMA N 28 Jakarta,06:01,Olivia,Olivia@google.com,8504177313,1985-12-20,xiaomi,art,Goes to School,37.0,6
Jogja City Mall,15:40,Tiara,Tiara@google.com,8546173214,1990-08-11,apple,cooking,Free,32.0,16
Stuja Coffee,11:03,Daliman,Daliman@google.com,8752988097,2006-06-22,xiaomi,science,Social,16.0,11
Stuja Coffee,20:27,Lintang,Lintang@google.com,8844173797,1962-02-23,apple,cooking,Social,61.0,20
Coffee Toffee,17:26,Bancar,Bancar@google.com,8417990174,1995-03-12,oppo,sport,Social,28.0,17
SMA N 47 Jakarta,06:48,Sakura,Sakura@google.com,8221515444,2006-06-21,samsung,sport,Goes to School,16.0,7
Tang City Mall,16:27,Caket,Caket@google.com,8596396409,1968-11-07,samsung,tech,Free,54.0,16
Coffee Toffee,02:17,Ganjaran,Ganjaran@google.com,8452455709,1979-03-13,xiaomi,sport,Social,44.0,2
SMA N 28 Jakarta,19:47,Jono,Jono@google.com,8517561234,1972-03-20,xiaomi,tech,Goes to School,51.0,20
Coffee Toffee,16:28,Karman,Karman@google.com,8108683811,1976-12-27,samsung,cooking,Social,46.0,16
Tang City Mall,08:31,Gangsa,Gangsa@google.com,8613596273,1967-04-12,oppo,sport,Free,56.0,9
